emp_id,Full_Name,Department,Job_Title,hire_date,Performance_Rating,Experience_Years,Status,Work_Mode,salary,Country,City,Age,Job_Level,Hire_Year,Tenure_Years,Years_Since_Hire,Is_Active,Performance_Score,Salary_Band,Hire_Month,Hire_Quarter
EMP-00018,Dipl.-Ing. Eleanor Pincherle,Operations,Operations Analyst,06-10-2025,Good,2,Active,Remote,134248,Spain,Valencia,59,Junior,2025,0.8,1,1,3,High,10,4
EMP-00019,Jan Eimer,Sales,Sales Director,13-11-2019,Good,9,Active,Hybrid,109003,Poland,Lodz,43,Senior,2019,6.7,7,1,3,High,11,4
EMP-00020,Dipl.-Ing. Luce Hellevoort,Operations,Supply Chain,16-04-2023,Excellent,26,Active,Hybrid,131115,United Kingdom,London,29,Mid,2023,3.3,3,1,4,High,4,2
EMP-00021,Univ.Prof. Dex Hopkins,Operations,Logistics,01-10-2017,Excellent,21,Active,Remote,35000,Italy,Venice,39,Junior,2017,8.8,9,1,4,Low,10,4
EMP-00022,Dott. Lucas Jennings,Sales,Business Development,01-02-2025,Good,18,Resigned,Remote,83785,Spain,Seville,39,Mid,2025,1.5,1,0,3,Medium,2,1
EMP-00023,Dipl.-Ing. Valentina Wirth,HR,HR Manager,21-05-2019,Needs Improvement,17,Active,On-site,44957,France,Toulouse,46,Junior,2019,7.2,7,1,1,Low,5,2
EMP-00024,Gianluigi Moreau,IT,Software Developer,23-11-2019,Good,24,Active,Remote,139132,United Kingdom,Birmingham,34,Director,2019,6.7,7,1,3,High,11,4
EMP-00025,Eleanor Garcia,Finance,Finance Manager,04-02-2026,Good,29,Active,Remote,74711,Germany,Hamburg,51,Senior,2026,0.5,0,1,3,Medium,2,1
EMP-00026,Lucas Vidal,IT,System Admin,02-12-2009,Excellent,32,Resigned,On-site,120500,France,Lyon,49,Senior,2009,16.7,17,0,4,High,12,4
EMP-00027,Univ.Prof. Lauren Colas,IT,System Admin,18-10-2022,Good,0,Active,On-site,47036,United Kingdom,Manchester,59,Junior,2022,3.8,4,1,3,Low,10,4
EMP-00028,Eckehard Coolen,IT,IT Manager,28-06-2017,Good,24,Active,Hybrid,36193,Italy,Turin,36,Junior,2017,9.1,9,1,3,Low,6,2
EMP-00029,Mr Lindsey Harris,Sales,Sales Executive,10-08-2019,Excellent,19,Active,On-site,61365,United Kingdom,Leeds,21,Director,2019,7,7,1,4,Medium,8,3
EMP-00030,Bernard Collin,HR,Recruiter,03-06-2020,Satisfactory,21,Active,On-site,35000,Spain,Valencia,59,Junior,2020,6.2,6,1,2,Low,6,2
EMP-00031,Bernard Besnard,IT,Software Developer,18-02-2013,Good,12,Active,On-site,70151,United Kingdom,Leeds,22,Mid,2013,13.5,13,1,3,Medium,2,1
EMP-00032,Dipl.-Ing. Jeanne-Annamaria Knappe,HR,HR Manager,02-01-2023,Good,3,Active,Hybrid,70701,Poland,Poznan,59,Senior,2023,3.6,3,1,3,Medium,1,1
EMP-00033,Anastasia Green,Operations,Supply Chain,03-12-2020,Satisfactory,17,Active,On-site,108172,Poland,Poznan,53,Mid,2020,5.7,6,1,2,High,12,4
EMP-00034,Univ.Prof. Wayne Tomas,IT,Data Engineer,12-10-2022,Satisfactory,10,Resigned,On-site,161407,Spain,Bilbao,41,Mid,2022,3.8,4,0,2,High,10,4
EMP-00035,Mr Andree Besnard,HR,HR Director,07-02-2023,Good,10,Active,Remote,53938,United Kingdom,Manchester,43,Senior,2023,3.5,3,1,3,Low,2,1
EMP-00036,Lynn Nowak,Sales,Business Development,14-06-2010,Excellent,21,Active,On-site,114083,Germany,Hamburg,36,Mid,2010,16.1,16,1,4,High,6,2
EMP-00037,Miss Olivia Wieloch,Finance,Financial Analyst,31-03-2014,Good,10,Resigned,Remote,69232,France,Marseille,54,Mid,2014,12.4,12,0,3,Medium,3,1
EMP-00038,Mrs Olivia Sanchez,Finance,CFO,13-03-2010,Excellent,11,Active,On-site,124412,Spain,Madrid,42,Director,2010,16.4,16,1,4,High,3,1
EMP-00039,Dipl.-Ing. Luce Rossi,Operations,Supply Chain,20-04-2013,Satisfactory,23,Active,On-site,88640,France,Marseille,41,Director,2013,13.3,13,1,2,Medium,4,2
EMP-00040,Mrs Sara Besnard,Sales,Sales Manager,10-09-2011,Satisfactory,9,Active,Remote,89201,France,Lyon,47,Mid,2011,14.9,15,1,2,Medium,9,3
EMP-00041,Reinhold Hopkins,HR,HR Director,27-06-2017,Good,19,Active,On-site,161724,Germany,Cologne,30,Director,2017,9.1,9,1,3,High,6,2
EMP-00042,Prof. Gina Henk,Finance,Tax Specialist,27-08-2014,Good,9,Active,Hybrid,143610,France,Toulouse,34,Director,2014,11.9,12,1,3,High,8,3
EMP-00043,Dr. Laurent Velderman,HR,HR Manager,13-01-2015,Good,14,Active,On-site,90079,Poland,Krakow,40,Senior,2015,11.6,11,1,3,Medium,1,1
EMP-00044,Mrs Theodor Stiebitz,Operations,Supply Chain,13-07-2011,Needs Improvement,13,Active,Remote,101174,United Kingdom,Edinburgh,41,Mid,2011,15.1,15,1,1,High,7,3
EMP-00045,Marco Coolen,IT,IT Manager,10-07-2009,Needs Improvement,8,Active,Hybrid,118705,Poland,Wroclaw,41,Director,2009,17.1,17,1,1,High,7,3
EMP-00046,Mr Eleanor Green,Finance,Financial Analyst,09-07-2013,Satisfactory,16,Active,On-site,108042,France,Paris,59,Junior,2013,13.1,13,1,2,High,7,3
EMP-00047,Dr. Heinz Collin,IT,System Admin,04-09-2020,Good,35,Active,Hybrid,93969,United Kingdom,Edinburgh,44,Junior,2020,5.9,6,1,3,Medium,9,3
EMP-00048,Lindsey Moulin,IT,DevOps Engineer,15-12-2013,Excellent,16,Terminated,On-site,64866,Italy,Naples,56,Director,2013,12.6,13,0,4,Medium,12,4
EMP-00049,Mrs Abdul Edwards,Finance,Accountant,17-03-2008,Good,31,Active,On-site,115994,Germany,Hamburg,39,Senior,2008,18.4,18,1,3,High,3,1
EMP-00050,Bernard Jennings,Finance,Tax Specialist,12-12-2013,Good,14,Resigned,Hybrid,35000,Netherlands,Utrecht,43,Senior,2013,12.7,13,0,3,Low,12,4
EMP-00051,Sig.Ra Bernard Rees,Sales,Sales Executive,23-05-2014,Satisfactory,9,Active,Hybrid,132857,Germany,Frankfurt,43,Mid,2014,12.2,12,1,2,High,5,2
EMP-00052,Dott. Morena Nowak,Operations,Supply Chain,01-09-2022,Good,34,Active,On-site,121938,France,Nice,42,Junior,2022,3.9,4,1,3,High,9,3
EMP-00053,Lindsey Colas,Operations,Supply Chain,06-12-2013,Satisfactory,25,Active,On-site,83728,Poland,Warsaw,37,Mid,2013,12.7,13,1,2,Medium,12,4
EMP-00054,Dott. Micha Hopkins,Operations,Operations Analyst,25-07-2021,Good,17,Active,On-site,99159,United Kingdom,Leeds,49,Mid,2021,5,5,1,3,High,7,3
EMP-00055,Patricia Renier,HR,Talent Specialist,03-05-2019,Good,7,Active,Remote,62241,Italy,Turin,44,Junior,2019,7.3,7,1,3,Medium,5,2
EMP-00056,Valentina Knappe,HR,HR Manager,27-12-2008,Good,8,Active,On-site,61971,Netherlands,Rotterdam,34,Mid,2008,17.6,18,1,3,Medium,12,4
EMP-00057,Prof. Eckehard Harris,IT,Software Developer,16-05-2020,Excellent,19,Resigned,On-site,56311,Netherlands,Utrecht,32,Senior,2020,6.2,6,0,4,Medium,5,2
EMP-00058,Eleanor-Lucas Sureda,HR,HR Coordinator,06-05-2011,Good,35,Active,Remote,72497,United Kingdom,London,46,Mid,2011,15.3,15,1,3,Medium,5,2
EMP-00059,Dr. Micha Colas,Sales,Sales Executive,08-12-2008,Good,29,Active,Hybrid,75394,Netherlands,Rotterdam,59,Senior,2008,17.7,18,1,3,Medium,12,4
EMP-00060,Sig.Ra Xavier Moulin,Operations,Operations Analyst,16-12-2022,Excellent,9,Active,Hybrid,73602,Germany,Frankfurt,40,Junior,2022,3.6,4,1,4,Medium,12,4
EMP-00061,Sig.Ra Elena Bryan,HR,HR Coordinator,22-10-2024,Good,23,Active,On-site,35000,France,Marseille,57,Mid,2024,1.8,2,1,3,Low,10,4
EMP-00062,Dipl.-Ing. Sofia Nowak,Finance,Financial Analyst,21-12-2011,Good,13,Active,On-site,74663,Netherlands,Rotterdam,50,Mid,2011,14.6,15,1,3,Medium,12,4
EMP-00063,Laurent Schmidt,HR,HR Manager,26-03-2017,Good,8,Terminated,On-site,86905,France,Toulouse,41,Junior,2017,9.4,9,0,3,Medium,3,1
EMP-00064,Sofia Tomas,Operations,Operations Manager,30-07-2016,Satisfactory,23,Active,On-site,91935,Germany,Munich,43,Mid,2016,10,10,1,2,Medium,7,3
EMP-00065,Lucie Eimer,Operations,Operations Director,04-11-2015,Good,17,Active,On-site,142123,Italy,Rome,21,Director,2015,10.8,11,1,3,High,11,4
EMP-00066,Linus Koch,HR,Recruiter,13-05-2015,Satisfactory,10,Active,Hybrid,117899,Italy,Naples,21,Mid,2015,11.2,11,1,2,High,5,2
EMP-00067,Univ.Prof. Lee Jennings,Operations,Operations Analyst,18-12-2016,Needs Improvement,10,Active,On-site,64981,Germany,Frankfurt,44,Director,2016,9.6,10,1,1,Medium,12,4
EMP-00068,Linus Renier,Sales,Sales Director,02-01-2012,Excellent,14,Active,Hybrid,70574,France,Toulouse,41,Senior,2012,14.6,14,1,4,Medium,1,1
EMP-00069,Tina Kohler,Operations,Logistics,04-05-2024,Satisfactory,6,Active,Remote,75975,Italy,Naples,21,Senior,2024,2.3,2,1,2,Medium,5,2
EMP-00070,Dr. Theodor Green,IT,Data Engineer,06-04-2012,Needs Improvement,7,Active,On-site,85534,United Kingdom,Manchester,49,Director,2012,14.3,14,1,1,Medium,4,2
EMP-00071,Jenny Denis,Sales,Sales Manager,28-05-2023,Good,20,Active,On-site,137280,Germany,Munich,42,Senior,2023,3.2,3,1,3,High,5,2
EMP-00072,Felix-Lindsey Young,Finance,Financial Analyst,22-12-2021,Good,31,Active,Hybrid,68054,Poland,Lodz,44,Mid,2021,4.6,5,1,3,Medium,12,4
EMP-00073,Dott. Anna Wilson,Sales,Business Development,16-12-2022,Good,3,Resigned,Hybrid,97185,France,Nice,31,Mid,2022,3.6,4,0,3,High,12,4
EMP-00074,Dott. Franck Henk,IT,Data Engineer,06-06-2017,Needs Improvement,35,Active,On-site,89615,Italy,Venice,59,Junior,2017,9.2,9,1,1,Medium,6,2
EMP-00075,Prof. Laurent Bryan,IT,Data Engineer,06-10-2020,Needs Improvement,16,Active,On-site,178208,Spain,Bilbao,29,Senior,2020,5.8,6,1,1,High,10,4
EMP-00076,Dipl.-Ing. Luce Trommler,Operations,Supply Chain,22-08-2017,Good,29,Active,On-site,64474,Italy,Milan,46,Junior,2017,9,9,1,3,Medium,8,3
EMP-00077,Prof. Abdul Harris,Operations,Supply Chain,25-02-2023,Good,35,Active,On-site,113980,Netherlands,Eindhoven,36,Mid,2023,3.4,3,1,3,High,2,1
EMP-00078,Univ.Prof. Anna Velderman,Operations,Operations Director,22-10-2011,Needs Improvement,6,Active,On-site,81892,United Kingdom,Paris,38,Director,2011,14.8,15,1,1,Medium,10,4
EMP-00079,Miss Lindsey Young,IT,DevOps Engineer,04-02-2010,Good,17,Resigned,On-site,179225,Netherlands,The Hague,40,Mid,2010,16.5,16,0,3,High,2,1
EMP-00080,Prof. Morena Henk,HR,Recruiter,22-04-2011,Good,32,Active,Hybrid,35000,United Kingdom,Leeds,28,Senior,2011,15.3,15,1,3,Low,4,2
EMP-00081,Mrs Ernesto Edwards,Finance,Financial Analyst,19-03-2018,Satisfactory,8,Active,On-site,75906,United Kingdom,Manchester,23,Director,2018,8.4,8,1,2,Medium,3,1
EMP-00082,Gina Joubert,Operations,Supply Chain,17-12-2016,Good,19,Active,On-site,82275,United Kingdom,London,40,Junior,2016,9.6,10,1,3,Medium,12,4
EMP-00083,Sig.Ra Gianluigi Tomas,Sales,Business Development,16-06-2025,Satisfactory,30,Active,On-site,35000,Spain,Madrid,36,Senior,2025,1.1,1,1,2,Low,6,2
EMP-00084,Univ.Prof. William Besnard,Finance,Financial Analyst,02-07-2020,Good,4,Active,On-site,51466,Poland,Wroclaw,59,Senior,2020,6.1,6,1,3,Low,7,3
EMP-00085,Mrs Bertrand Lindner,IT,System Admin,30-11-2019,Excellent,16,Active,Remote,66331,Italy,Milan,42,Mid,2019,6.7,7,1,4,Medium,11,4
EMP-00086,Dr. Nora Jennings,HR,HR Director,27-07-2017,Good,35,Active,Remote,95900,Spain,Barcelona,54,Senior,2017,9,9,1,3,High,7,3
EMP-00087,Mrs Anna Killer,HR,HR Coordinator,03-02-2018,Good,7,Active,Hybrid,136780,Germany,Munich,42,Junior,2018,8.5,8,1,3,High,2,1
EMP-00088,Dipl.-Ing. Valentina Moreau,Sales,Regional Lead,10-09-2019,Good,16,Active,On-site,110199,United Kingdom,Manchester,58,Junior,2019,6.9,7,1,3,High,9,3
EMP-00089,Olivia-Franck Moulin,HR,Recruiter,03-02-2014,Good,1,Active,Hybrid,173903,Netherlands,Eindhoven,33,Mid,2014,12.5,12,1,3,High,2,1
EMP-00090,Bertrand Reed,Finance,Tax Specialist,25-07-2023,Good,24,Active,Hybrid,35000,France,Marseille,37,Senior,2023,3,3,1,3,Low,7,3
EMP-00091,Wayne Denis,HR,Recruiter,13-06-2018,Satisfactory,35,Active,On-site,39125,Germany,Cologne,40,Junior,2018,8.2,8,1,2,Low,6,2
EMP-00092,Dipl.-Ing. Wayne Moreau,IT,Software Developer,05-02-2021,Satisfactory,2,Resigned,Hybrid,70584,Germany,Cologne,50,Mid,2021,5.5,5,0,2,Medium,2,1
EMP-00093,Mr Hortense-Xavier Wilson,Sales,Sales Director,24-11-2024,Good,0,Terminated,Remote,124083,United Kingdom,Manchester,39,Mid,2024,1.7,2,0,3,High,11,4
EMP-00094,Miss Laurent Nowak,HR,HR Director,12-07-2021,Needs Improvement,22,Resigned,On-site,85299,Germany,Hamburg,41,Director,2021,5.1,5,0,1,Medium,7,3
EMP-00095,Lee Diallo,Operations,Operations Director,20-09-2016,Good,12,Active,On-site,74632,Poland,Wroclaw,41,Mid,2016,9.9,10,1,3,Medium,9,3
EMP-00096,Dott. Sofia Colas,Operations,Operations Director,15-12-2021,Satisfactory,10,Resigned,Hybrid,95889,Netherlands,The Hague,41,Director,2021,4.6,5,0,2,High,12,4
EMP-00097,Dr. Sarah Vidal,Finance,Finance Manager,01-06-2022,Needs Improvement,29,Active,Remote,65964,France,Marseille,40,Mid,2022,4.2,4,1,1,Medium,6,2
EMP-00098,Georges Foster,Sales,Sales Manager,29-09-2012,Satisfactory,0,Active,On-site,35000,France,Paris,21,Junior,2012,13.9,14,1,2,Low,9,3
EMP-00099,Univ.Prof. Lucas Rossi,Operations,Logistics,15-06-2017,Good,20,Active,On-site,80883,Spain,Valencia,40,Junior,2017,9.1,9,1,3,Medium,6,2
EMP-00100,Mrs Linus Besnard,Finance,CFO,06-11-2015,Good,35,Terminated,On-site,61026,Spain,Barcelona,30,Mid,2015,10.8,11,0,3,Medium,11,4
EMP-00101,Univ.Prof. Dex-Linus Moulin,IT,System Admin,21-06-2012,Good,11,Active,Remote,64867,France,Lyon,32,Mid,2012,14.1,14,1,3,Medium,6,2
EMP-00102,Annamaria Lindner,Sales,Sales Director,26-07-2010,Good,21,Active,Hybrid,79752,Italy,Venice,26,Director,2010,16,16,1,3,Medium,7,3
EMP-00103,Mrs William Rees,HR,Recruiter,06-10-2011,Excellent,13,Resigned,Remote,46537,Germany,Cologne,33,Senior,2011,14.8,15,0,4,Low,10,4
EMP-00104,Univ.Prof. Nora Wilson,Operations,Operations Analyst,04-06-2010,Satisfactory,27,Active,On-site,49162,Poland,Poznan,41,Mid,2010,16.2,16,1,2,Low,6,2
EMP-00105,Dr. Patricia Reed,Finance,Accountant,23-11-2016,Excellent,11,Active,Hybrid,90003,Italy,Naples,59,Mid,2016,9.7,10,1,4,Medium,11,4
EMP-00106,Dr. William Moulin,Sales,Business Development,14-04-2010,Excellent,22,Active,Hybrid,108292,Poland,Krakow,43,Senior,2010,16.3,16,1,4,High,4,2
EMP-00107,Dipl.-Ing. Patricia Hellevoort,HR,Talent Specialist,09-11-2025,Good,19,Active,On-site,66792,Germany,Hamburg,38,Senior,2025,0.7,1,1,3,Medium,11,4
EMP-00108,Miss Felix Edwards,Operations,Logistics,07-05-2019,Good,17,Active,Hybrid,87594,Germany,Munich,40,Mid,2019,7.3,7,1,3,Medium,5,2
EMP-00109,Dipl.-Ing. Wayne Tomas,Sales,Business Development,21-09-2017,Satisfactory,20,Resigned,On-site,81715,Spain,Valencia,38,Mid,2017,8.9,9,0,2,Medium,9,3
EMP-00110,Mr Lisanne Gough,Sales,Regional Lead,21-01-2014,Satisfactory,0,Active,Remote,116261,Spain,Bilbao,36,Junior,2014,12.5,12,1,2,High,1,1
EMP-00111,Univ.Prof. Hortense De Vries,Sales,Sales Director,24-05-2024,Satisfactory,16,Active,On-site,37353,Spain,Seville,57,Senior,2024,2.2,2,1,2,Low,5,2
EMP-00112,Dipl.-Ing. Annamaria Vidal,Sales,Sales Executive,03-04-2014,Good,29,Resigned,On-site,130014,France,Toulouse,38,Senior,2014,12.3,12,0,3,High,4,2
EMP-00113,Univ.Prof. Andree Lindner,IT,Software Developer,01-07-2016,Needs Improvement,10,Active,Remote,86481,Netherlands,The Hague,23,Senior,2016,10.1,10,1,1,Medium,7,3
EMP-00114,Dipl.-Ing. Abdul Trommler,Operations,Operations Director,16-12-2015,Good,23,Resigned,Remote,83203,Germany,Hamburg,37,Mid,2015,10.6,11,0,3,Medium,12,4
EMP-00115,Lucas Knappe,Sales,Sales Executive,19-06-2020,Excellent,25,Active,On-site,35000,United Kingdom,Manchester,42,Mid,2020,6.1,6,1,4,Low,6,2
EMP-00116,Annamaria Joubert,IT,Software Developer,14-06-2020,Excellent,0,Active,On-site,88881,United Kingdom,Leeds,37,Junior,2020,6.1,6,1,4,Medium,6,2
EMP-00117,Prof. Gina Schmidt,Operations,Operations Director,21-05-2008,Satisfactory,25,Active,Remote,61169,United Kingdom,Birmingham,21,Director,2008,18.2,18,1,2,Medium,5,2
EMP-00118,Mr William Lindner,Finance,Financial Analyst,16-01-2021,Satisfactory,35,Active,On-site,76335,France,Nice,36,Junior,2021,5.6,5,1,2,Medium,1,1
EMP-00119,Miss Xavier Velderman,HR,HR Coordinator,05-05-2020,Satisfactory,14,Active,Remote,97349,Netherlands,The Hague,28,Mid,2020,6.3,6,1,2,High,5,2
EMP-00120,Morena Hellevoort,Sales,Sales Manager,05-03-2024,Excellent,35,Active,Remote,104664,France,Marseille,31,Mid,2024,2.4,2,1,4,High,3,1
EMP-00121,Dott. Lauren Sureda,HR,HR Manager,25-02-2012,Good,20,Active,Hybrid,41152,Poland,Poznan,55,Junior,2012,14.4,14,1,3,Low,2,1
EMP-00122,Anastasia Rossi,Sales,Sales Manager,07-10-2019,Satisfactory,35,Active,Remote,78687,Spain,Barcelona,34,Senior,2019,6.8,7,1,2,Medium,10,4
EMP-00123,Dipl.-Ing. Lucie Rees,HR,HR Manager,09-01-2012,Excellent,0,Active,Hybrid,35000,France,Paris,37,Senior,2012,14.6,14,1,4,Low,1,1
EMP-00124,Lee-Georges Sanchez,Sales,Sales Director,21-07-2014,Satisfactory,0,Resigned,On-site,70624,Poland,Lodz,59,Director,2014,12,12,0,2,Medium,7,3
EMP-00125,Prof. Elena Tomas,Sales,Regional Lead,10-04-2008,Good,20,Active,Remote,35000,Netherlands,Amsterdam,46,Junior,2008,18.3,18,1,3,Low,4,2
EMP-00126,Mrs Olivia Besnard,Finance,Finance Manager,30-08-2013,Satisfactory,0,Active,On-site,80555,Spain,Seville,39,Senior,2013,12.9,13,1,2,Medium,8,3
EMP-00127,Dipl.-Ing. Bernard Edwards,Sales,Business Development,09-12-2020,Needs Improvement,21,Active,On-site,35000,United Kingdom,Leeds,34,Mid,2020,5.7,6,1,1,Low,12,4
EMP-00128,Florence Wilson,Finance,CFO,28-11-2009,Satisfactory,24,Active,On-site,35000,United Kingdom,Manchester,42,Director,2009,16.7,17,1,2,Low,11,4
EMP-00129,Univ.Prof. Wayne Schmidt,Sales,Sales Director,14-11-2021,Satisfactory,21,Resigned,On-site,99519,United Kingdom,London,44,Director,2021,4.7,5,0,2,High,11,4
EMP-00130,Mr Olivia Wilson,Finance,Tax Specialist,14-03-2021,Needs Improvement,16,Active,Hybrid,44201,United Kingdom,Leeds,32,Junior,2021,5.4,5,1,1,Low,3,1
EMP-00131,Dr. Georges Velderman,Finance,Tax Specialist,23-03-2010,Satisfactory,21,Active,Hybrid,36235,Poland,Poznan,50,Director,2010,16.4,16,1,2,Low,3,1
EMP-00132,Lindsey-Annamaria Wieloch,Sales,Regional Lead,18-05-2020,Good,20,Resigned,On-site,66999,Poland,Krakow,47,Director,2020,6.2,6,0,3,Medium,5,2
EMP-00133,Mr Olivia Killer,Finance,CFO,13-07-2014,Excellent,16,Active,On-site,35000,Spain,Valencia,59,Director,2014,12.1,12,1,4,Low,7,3
EMP-00134,Dott. Franck Eimer,Sales,Sales Executive,06-08-2009,Satisfactory,8,Terminated,On-site,102080,Spain,Seville,47,Mid,2009,17,17,0,2,High,8,3
EMP-00135,Univ.Prof. Reinhold Lindner,Finance,Accountant,11-01-2026,Excellent,22,Active,On-site,94007,Poland,Krakow,57,Senior,2026,0.6,0,1,4,Medium,1,1
EMP-00136,Miss Nigel Knappe,IT,System Admin,11-03-2011,Good,18,Active,On-site,45433,France,Marseille,47,Senior,2011,15.4,15,1,3,Low,3,1
EMP-00137,Univ.Prof. Morena De Vries,Operations,Operations Manager,06-10-2020,Good,3,Active,Hybrid,35000,Poland,Lodz,33,Senior,2020,5.8,6,1,3,Low,10,4
EMP-00138,Mrs William Koch,Finance,CFO,08-02-2014,Good,12,Active,On-site,79143,Italy,Venice,32,Director,2014,12.5,12,1,3,Medium,2,1
EMP-00139,Mrs Heinz Ruggeri,IT,Data Engineer,22-06-2024,Needs Improvement,26,Active,On-site,74315,United Kingdom,Birmingham,46,Senior,2024,2.1,2,1,1,Medium,6,2
EMP-00140,Heinz Van Den Nuwenhuysen,Finance,Accountant,25-11-2020,Good,15,Active,On-site,94608,Netherlands,Rotterdam,45,Junior,2020,5.7,6,1,3,Medium,11,4
EMP-00141,Univ.Prof. Patricia Green,Sales,Business Development,25-11-2008,Satisfactory,0,Active,On-site,48709,United Kingdom,Leeds,50,Mid,2008,17.7,18,1,2,Low,11,4
EMP-00142,Mrs Jenny Knappe,IT,Software Developer,26-01-2012,Good,19,Resigned,Hybrid,48836,Germany,Frankfurt,46,Senior,2012,14.5,14,0,3,Low,1,1
EMP-00143,Hortense Young,HR,HR Director,15-03-2015,Excellent,23,Resigned,On-site,161448,Netherlands,Eindhoven,41,Director,2015,11.4,11,0,4,High,3,1
EMP-00144,Wayne Hopkins,Finance,Financial Analyst,10-11-2022,Good,25,Active,On-site,59842,Poland,Poznan,36,Mid,2022,3.7,4,1,3,Medium,11,4
EMP-00145,Abdul Hellevoort,Sales,Sales Manager,29-04-2025,Satisfactory,21,Active,On-site,126878,United Kingdom,Leeds,27,Senior,2025,1.3,1,1,2,High,4,2
EMP-00146,Dipl.-Ing. Luce Denis,IT,IT Manager,12-05-2018,Satisfactory,33,Terminated,On-site,35000,Poland,Wroclaw,58,Mid,2018,8.2,8,0,2,Low,5,2
EMP-00147,Miss Maartje Joubert,IT,Software Developer,10-01-2022,Good,35,Active,On-site,42749,Spain,Madrid,46,Senior,2022,4.6,4,1,3,Low,1,1
EMP-00148,Lee Hopkins,Operations,Operations Analyst,29-10-2017,Excellent,9,Active,Hybrid,88719,Spain,Barcelona,32,Junior,2017,8.8,9,1,4,Medium,10,4
EMP-00149,Linus Coolen,IT,Data Engineer,04-12-2025,Needs Improvement,4,Active,Hybrid,83121,Poland,Wroclaw,53,Mid,2025,0.7,1,1,1,Medium,12,4
EMP-00150,Micha-Wayne Vidal,Finance,Financial Analyst,14-01-2013,Satisfactory,7,Active,On-site,97031,Germany,Berlin,32,Junior,2013,13.6,13,1,2,High,1,1
EMP-00151,Dex Joubert,Sales,Sales Manager,27-01-2024,Needs Improvement,14,Resigned,Hybrid,50674,Germany,Frankfurt,28,Junior,2024,2.5,2,0,1,Low,1,1
EMP-00152,Mr Clara Killer,Sales,Sales Executive,19-06-2013,Satisfactory,23,Active,On-site,101621,Netherlands,Rotterdam,43,Junior,2013,13.1,13,1,2,High,6,2
